customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10136,"2003-07-04 00:00:00","2003-07-14 00:00:00","2003-07-06 00:00:00",Shipped,"Customer is interested in buying more Ferrari models",242,10136,S18_1129,25,145.79,2
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10136,"2003-07-04 00:00:00","2003-07-14 00:00:00","2003-07-06 00:00:00",Shipped,"Customer is interested in buying more Ferrari models",242,10136,S18_1984,36,146.52,1
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10136,"2003-07-04 00:00:00","2003-07-14 00:00:00","2003-07-06 00:00:00",Shipped,"Customer is interested in buying more Ferrari models",242,10136,S18_3232,41,203.21,3
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S10_4757,24,145.52,12
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S18_1662,42,154.54,4
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S18_3029,41,81.72,10
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S18_3856,48,112.22,9
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S24_2841,34,80.84,5
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S24_3420,27,73.64,6
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S24_3816,21,72.12,11
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S24_3949,30,72.33,3
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S700_2047,34,96.86,8
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S700_2466,22,87.75,1
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S700_4002,45,76.25,2
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100,10178,"2003-11-08 00:00:00","2003-11-16 00:00:00","2003-11-10 00:00:00",Shipped,"Custom shipping instructions sent to warehouse",242,10178,S72_1253,45,51.15,7
